Graph loaded
<torch.utils.data.dataloader.DataLoader object at 0x7f4ae98242e0>
Data Loaded
Starting training
Epoch 6: loss=4.9287
Epoch 6: loss=4.9184
Epoch 6: loss=5.7211
Epoch 6: loss=4.9462
Epoch 7: loss=4.9113
Epoch 7: loss=6.1970
Epoch 7: loss=4.8934
Epoch 7: loss=5.7739
Epoch 7: loss=4.9648
Epoch 7: loss=4.9640
Epoch 7: loss=4.9275
Epoch 7: loss=5.8307
Epoch 7: loss=5.8246
Epoch 7: loss=5.8263
Epoch 7: loss=5.7606
Epoch 7: loss=5.8051
Epoch 7: loss=5.4040
Epoch 7: loss=5.7021
Epoch 7: loss=5.2343
Epoch 7: loss=5.1562
Epoch 7: loss=5.1448
Epoch 7: loss=5.1595
Epoch 7: loss=5.8808
Epoch 7: loss=5.1462
Epoch 7: loss=5.0640
Epoch 7: loss=4.9331
Epoch 7: loss=4.8800
Epoch 7: loss=4.9918
Epoch 7: loss=4.9995
Epoch 7: loss=5.9712
Epoch 7: loss=6.2116
Epoch 7: loss=4.8954
Epoch 7: loss=4.9275
Epoch 7: loss=5.1423
Epoch 7: loss=5.6883
Epoch 7: loss=5.7945
Epoch 7: loss=5.0989
Epoch 7: loss=4.8960
Epoch 7: loss=6.0898
Epoch 7: loss=4.8461
Epoch 7: loss=5.0317
Epoch 7: loss=4.7967
Epoch 7: loss=4.7840
Epoch 7: loss=6.0442
Epoch 7: loss=4.7559
Epoch 7: loss=6.0324
Epoch 7: loss=4.8088
Epoch 7: loss=5.0214
Epoch 7: loss=4.9971
Epoch 7: loss=4.7823
Epoch 7: loss=5.6718
Epoch 7: loss=4.9549
Epoch 7: loss=4.7620
Epoch 7: loss=5.6104
Epoch 7: loss=4.7838
Epoch 7: loss=5.0074
Epoch 7: loss=4.8116
Epoch 7: loss=4.7546
Epoch 7: loss=4.9033
Epoch 7: loss=4.7719
Epoch 7: loss=5.5254
Epoch 7: loss=5.9325
Epoch 7: loss=5.4599
Epoch 7: loss=5.4621
Epoch 7: loss=4.9118
Epoch 8: loss=4.8320
Epoch 8: loss=5.4383
Epoch 8: loss=5.1218
Epoch 8: loss=5.9352
Epoch 8: loss=5.3933
Epoch 8: loss=5.4150
Epoch 8: loss=4.8327
Epoch 8: loss=4.8222
Epoch 8: loss=5.7437
Epoch 8: loss=4.8452
Epoch 8: loss=4.7934
Epoch 8: loss=4.6874
Epoch 8: loss=4.7039
Epoch 8: loss=4.7464
Epoch 8: loss=5.6816
Epoch 8: loss=5.9079
Epoch 8: loss=4.9399
Epoch 8: loss=5.4151
Epoch 8: loss=5.1334
Epoch 8: loss=5.0614
Epoch 8: loss=6.0330
Epoch 8: loss=4.8077
Epoch 8: loss=4.7503
Epoch 8: loss=5.0890
Epoch 8: loss=4.8419
Epoch 8: loss=4.7967
Epoch 8: loss=5.6855
Epoch 8: loss=4.7089
Epoch 8: loss=4.9612
Epoch 8: loss=4.8084
Epoch 8: loss=4.7953
Epoch 8: loss=4.8802
Epoch 8: loss=4.6766
Epoch 8: loss=4.6786
Epoch 8: loss=4.7076
Epoch 8: loss=5.6502
Epoch 8: loss=5.7113
Epoch 8: loss=4.7969
Epoch 8: loss=5.6037
Epoch 8: loss=4.8944
Epoch 8: loss=4.8831
Epoch 8: loss=4.7915
Epoch 8: loss=5.4723
Epoch 8: loss=4.7598
Epoch 8: loss=4.7696
Epoch 8: loss=4.6933
Epoch 8: loss=6.2326
Epoch 8: loss=5.3416
Epoch 8: loss=4.9408
Epoch 8: loss=4.9904
Epoch 8: loss=5.0114
Epoch 8: loss=5.4820
Epoch 8: loss=5.2160
Epoch 8: loss=4.7426
Epoch 8: loss=4.7610
Epoch 8: loss=4.7256
Epoch 8: loss=5.0302
Epoch 8: loss=4.6362
Epoch 8: loss=4.6282
Epoch 8: loss=5.5303
Epoch 8: loss=5.5272
Epoch 9: loss=4.7505
Epoch 9: loss=4.7803
Epoch 9: loss=4.7402
Epoch 9: loss=4.6676
Epoch 9: loss=4.6253
Epoch 9: loss=4.6526
Epoch 9: loss=5.5960
Epoch 9: loss=4.7208
Epoch 9: loss=4.6579
Epoch 9: loss=4.5722
Epoch 9: loss=4.7723
Epoch 9: loss=4.6495
Epoch 9: loss=4.6598
Epoch 9: loss=5.4936
Epoch 9: loss=6.4835
Epoch 9: loss=5.3915
Epoch 9: loss=4.7323
Epoch 9: loss=5.4204
Epoch 9: loss=5.3517
Epoch 9: loss=5.0357
Epoch 9: loss=4.7982
Epoch 9: loss=5.5281
Epoch 9: loss=4.6880
Epoch 9: loss=5.3681
Epoch 9: loss=4.7352
Epoch 9: loss=5.9574
Epoch 9: loss=4.6849
Epoch 9: loss=4.5962
Epoch 9: loss=4.5527
Epoch 9: loss=4.5871
Epoch 9: loss=4.5963
Epoch 9: loss=4.5558
Epoch 9: loss=5.2952
Epoch 9: loss=4.5670
Epoch 9: loss=4.5768
Epoch 9: loss=4.5366
Epoch 9: loss=4.8624
Epoch 9: loss=4.5678
Epoch 9: loss=5.2908
Epoch 9: loss=4.5922
Epoch 9: loss=5.3174
Epoch 9: loss=4.5095
Epoch 9: loss=4.5494
Epoch 9: loss=4.5507
Epoch 9: loss=5.0900
