Graph loaded
<torch.utils.data.dataloader.DataLoader object at 0x7f2a0cde4670>
Data Loaded
Starting training
Epoch 7: loss=4.9895
Epoch 7: loss=4.6018
Epoch 7: loss=5.1860
Epoch 7: loss=5.0147
Epoch 7: loss=5.0689
Epoch 7: loss=4.6278
Epoch 7: loss=5.0375
Epoch 7: loss=5.0511
Epoch 7: loss=4.9295
Epoch 7: loss=4.9066
Epoch 7: loss=4.5459
Epoch 7: loss=5.1628
Epoch 7: loss=5.4959
Epoch 7: loss=5.0275
Epoch 7: loss=4.5374
Epoch 7: loss=4.9285
Epoch 7: loss=4.5540
Epoch 8: loss=4.8336
Epoch 8: loss=4.4978
Epoch 8: loss=4.4745
Epoch 8: loss=4.4714
Epoch 8: loss=5.1704
Epoch 8: loss=4.9792
Epoch 8: loss=4.4570
Epoch 8: loss=4.4525
Epoch 8: loss=4.8799
Epoch 8: loss=5.3396
Epoch 8: loss=5.1897
Epoch 8: loss=4.4751
Epoch 8: loss=4.4635
Epoch 8: loss=4.4446
Epoch 8: loss=4.4269
Epoch 8: loss=4.4182
Epoch 8: loss=4.4161
Epoch 8: loss=4.4149
Epoch 8: loss=4.4066
Epoch 8: loss=5.1345
Epoch 8: loss=4.8923
Epoch 8: loss=4.8270
Epoch 8: loss=4.4337
Epoch 8: loss=4.4611
Epoch 8: loss=4.4667
Epoch 8: loss=4.4538
Epoch 8: loss=4.9127
Epoch 8: loss=4.4335
Epoch 8: loss=5.6702
Epoch 8: loss=4.4161
Epoch 8: loss=5.0299
Epoch 8: loss=4.4356
Epoch 8: loss=4.3910
Epoch 8: loss=4.9358
Epoch 8: loss=4.4188
Epoch 8: loss=4.9800
Epoch 8: loss=4.4708
Epoch 8: loss=4.4112
Epoch 8: loss=4.3778
Epoch 8: loss=5.1839
Epoch 8: loss=4.9445
Epoch 8: loss=4.6674
Epoch 8: loss=4.9176
Epoch 8: loss=4.5186
Epoch 8: loss=4.8621
Epoch 8: loss=4.4240
Epoch 8: loss=4.4938
Epoch 8: loss=4.4849
Epoch 8: loss=5.8600
Epoch 8: loss=4.4737
Epoch 8: loss=4.6466
Epoch 8: loss=4.6902
Epoch 8: loss=5.3906
Epoch 8: loss=4.5180
Epoch 8: loss=4.8586
Epoch 8: loss=4.7330
Epoch 8: loss=4.4524
Epoch 8: loss=4.9553
Epoch 8: loss=4.5338
Epoch 8: loss=4.4389
Epoch 8: loss=5.6610
Epoch 9: loss=4.4450
Epoch 9: loss=5.5139
Epoch 9: loss=4.5734
Epoch 9: loss=4.5425
Epoch 9: loss=6.6084
Epoch 9: loss=4.4543
